pair_id,group,selection_rank,condition,overlap_percent,synset,lemma,cjk_token,hiragana_token,cosine_distance
28,close_at_100,28,overlap_025,25,conceptnet:sky:1400,sky,凨拜,じぺて,0.7063769996166229
28,close_at_100,28,overlap_050,50,conceptnet:sky:1400,sky,凨拜,じぺて,0.7430849075317383
28,close_at_100,28,overlap_075,75,conceptnet:sky:1400,sky,凨拜,じぺて,0.736124575138092
28,close_at_100,28,overlap_100,100,conceptnet:sky:1400,sky,凨拜,じぺて,0.3402574062347412
29,close_at_100,29,overlap_000,0,hairdresser.n.01,hairdresser,團磺臱,ゔが,0.9309373050928116
29,close_at_100,29,overlap_025,25,hairdresser.n.01,hairdresser,團磺臱,ゔが,0.7975209504365921
29,close_at_100,29,overlap_050,50,hairdresser.n.01,hairdresser,團磺臱,ゔが,0.6080405116081238
29,close_at_100,29,overlap_075,75,hairdresser.n.01,hairdresser,團磺臱,ゔが,1.0342673435807228
29,close_at_100,29,overlap_100,100,hairdresser.n.01,hairdresser,團磺臱,ゔが,0.3405236601829529
30,close_at_100,30,overlap_000,0,evaluator.n.01,evaluator,纑傣罕,をせ,0.9995030276477337
30,close_at_100,30,overlap_025,25,evaluator.n.01,evaluator,纑傣罕,をせ,0.8448430746793747
30,close_at_100,30,overlap_050,50,evaluator.n.01,evaluator,纑傣罕,をせ,0.9465914517641068
30,close_at_100,30,overlap_075,75,evaluator.n.01,evaluator,纑傣罕,をせ,0.9259883165359497
30,close_at_100,30,overlap_100,100,evaluator.n.01,evaluator,纑傣罕,をせ,0.3412975072860718
31,random_true,1,overlap_000,0,houseplant.n.01,houseplant,鄱詺塄,ゎぶ,0.7444519996643066
31,random_true,1,overlap_025,25,houseplant.n.01,houseplant,鄱詺塄,ゎぶ,0.7466115355491638
31,random_true,1,overlap_050,50,houseplant.n.01,houseplant,鄱詺塄,ゎぶ,0.48674046993255615
31,random_true,1,overlap_075,75,houseplant.n.01,houseplant,鄱詺塄,ゎぶ,0.7454054951667786
31,random_true,1,overlap_100,100,houseplant.n.01,houseplant,鄱詺塄,ゎぶ,0.5765243768692017
32,random_true,2,overlap_000,0,soup.n.01,soup,慗変睗冂,ぃぎゎ,1.1371198892593384
32,random_true,2,overlap_025,25,soup.n.01,soup,慗変睗冂,ぃぎゎ,0.8330128788948059
32,random_true,2,overlap_050,50,soup.n.01,soup,慗変睗冂,ぃぎゎ,0.8964954018592834
32,random_true,2,overlap_075,75,soup.n.01,soup,慗変睗冂,ぃぎゎ,0.5838135480880737
32,random_true,2,overlap_100,100,soup.n.01,soup,慗変睗冂,ぃぎゎ,0.40970730781555176
33,random_true,3,overlap_000,0,conceptnet:boring:1627,boring,鐕磬,ゅる,0.5332146883010864
33,random_true,3,overlap_025,25,conceptnet:boring:1627,boring,鐕磬,ゅる,0.7641564309597015
33,random_true,3,overlap_050,50,conceptnet:boring:1627,boring,鐕磬,ゅる,0.5329327285289764
33,random_true,3,overlap_075,75,conceptnet:boring:1627,boring,鐕磬,ゅる,0.7026751339435577
33,random_true,3,overlap_100,100,conceptnet:boring:1627,boring,鐕磬,ゅる,0.36417698860168457
34,random_true,4,overlap_000,0,dipterous_insect.n.01,dipterous insect,烞篪,にえ,0.92348463088274
34,random_true,4,overlap_025,25,dipterous_insect.n.01,dipterous insect,烞篪,にえ,0.764671191573143
34,random_true,4,overlap_050,50,dipterous_insect.n.01,dipterous insect,烞篪,にえ,0.6958986222743988
34,random_true,4,overlap_075,75,dipterous_insect.n.01,dipterous insect,烞篪,にえ,0.8473226726055145
34,random_true,4,overlap_100,100,dipterous_insect.n.01,dipterous insect,烞篪,にえ,0.6166478395462036
35,random_true,5,overlap_000,0,sleeve.n.01,sleeve,甊熿逬,はやじ,0.664153665304184
35,random_true,5,overlap_025,25,sleeve.n.01,sleeve,甊熿逬,はやじ,0.8627819418907166
35,random_true,5,overlap_050,50,sleeve.n.01,sleeve,甊熿逬,はやじ,0.5641649961471558
35,random_true,5,overlap_075,75,sleeve.n.01,sleeve,甊熿逬,はやじ,0.4909299612045288
35,random_true,5,overlap_100,100,sleeve.n.01,sleeve,甊熿逬,はやじ,0.45974868535995483
36,random_true,6,overlap_000,0,conceptnet:flat:1295,flat,勤,をゐろ,0.7015684545040131
36,random_true,6,overlap_025,25,conceptnet:flat:1295,flat,勤,をゐろ,1.0011362610384822
36,random_true,6,overlap_050,50,conceptnet:flat:1295,flat,勤,をゐろ,0.7683546543121338
36,random_true,6,overlap_075,75,conceptnet:flat:1295,flat,勤,をゐろ,0.42953068017959595
36,random_true,6,overlap_100,100,conceptnet:flat:1295,flat,勤,をゐろ,0.4515184164047241
37,random_true,7,overlap_000,0,conceptnet:fishing:1460,fishing,澊邲,ごひづ,0.8246539235115051
37,random_true,7,overlap_025,25,conceptnet:fishing:1460,fishing,澊邲,ごひづ,0.7127934992313385
37,random_true,7,overlap_050,50,conceptnet:fishing:1460,fishing,澊邲,ごひづ,0.609735518693924
37,random_true,7,overlap_075,75,conceptnet:fishing:1460,fishing,澊邲,ごひづ,0.5125602185726166
37,random_true,7,overlap_100,100,conceptnet:fishing:1460,fishing,澊邲,ごひづ,0.44651758670806885
38,random_true,8,overlap_000,0,lap.n.04,lap,揹陜睐懈,ふうあれ,0.8811440169811249
38,random_true,8,overlap_025,25,lap.n.04,lap,揹陜睐懈,ふうあれ,1.059730563312769
